timestamp,gx,gy,gz,B,raw,label
1774146149.110995,8.737867,-0.046133,2.2264,9.017168,"8.737867,-0.046133,2.226400,9.017168",touch
1774146149.1358001,8.737867,-0.0824,2.283733,9.031752,"8.737867,-0.082400,2.283733,9.031752",touch
1774146149.1640131,8.737867,-0.051467,2.274133,9.0291,"8.737867,-0.051467,2.274133,9.029100",touch
1774146149.1887748,8.737867,-0.047467,2.2784,9.030154,"8.737867,-0.047467,2.278400,9.030154",touch
1774146149.21349,8.737867,-0.016,2.2472,9.022222,"8.737867,-0.016000,2.247200,9.022222",touch
1774146149.238255,8.737867,-0.1056,2.2824,9.031657,"8.737867,-0.105600,2.282400,9.031657",touch
1774146149.2628841,8.737867,-0.0744,2.2688,9.027918,"8.737867,-0.074400,2.268800,9.027918",touch
1774146149.3131049,8.737867,-0.0664,2.260267,9.025715,"8.737867,-0.066400,2.260267,9.025715",touch
1774146149.3397498,8.737867,-0.342933,2.256267,9.030983,"8.737867,-0.342933,2.256267,9.030983",touch
1774146149.340874,8.737867,-0.110933,2.233867,9.019577,"8.737867,-0.110933,2.233867,9.019577",touch
1774146149.3649092,8.737867,-0.1104,2.268,9.028086,"8.737867,-0.110400,2.268000,9.028086",touch
1774146149.389506,8.737867,-0.0696,2.2712,9.028484,"8.737867,-0.069600,2.271200,9.028484",touch
1774146149.417948,8.737867,-0.028533,2.284533,9.031624,"8.737867,-0.028533,2.284533,9.031624",touch
1774146149.442548,8.737867,-0.129333,2.270933,9.029074,"8.737867,-0.129333,2.270933,9.029074",touch
1774146149.4672608,8.737867,-0.125067,2.270133,9.028813,"8.737867,-0.125067,2.270133,9.028813",touch
1774146149.491918,8.737867,-0.016533,2.278133,9.029977,"8.737867,-0.016533,2.278133,9.029977",touch
1774146149.516771,8.737867,-0.136,2.266667,9.0281,"8.737867,-0.136000,2.266667,9.028100",touch
1774146149.544936,8.737867,-0.246933,2.2576,9.028181,"8.737867,-0.246933,2.257600,9.028181",touch
1774146149.5696619,8.737867,-0.0976,2.2824,9.031567,"8.737867,-0.097600,2.282400,9.031567",touch
1774146149.594329,8.737867,-0.2584,2.273067,9.032382,"8.737867,-0.258400,2.273067,9.032382",touch
1774146149.6191401,8.737867,-0.288,2.264267,9.031067,"8.737867,-0.288000,2.264267,9.031067",touch
1774146149.64385,8.737867,-0.043467,2.275733,9.029461,"8.737867,-0.043467,2.275733,9.029461",touch
1774146149.690901,8.737867,-0.058933,2.2696,9.028005,"8.737867,-0.058933,2.269600,9.028005",touch
1774146149.7177799,8.737867,-0.122933,2.268267,9.028315,"8.737867,-0.122933,2.268267,9.028315",touch
1774146149.721331,8.737867,-0.082933,2.269333,9.028127,"8.737867,-0.082933,2.269333,9.028127",touch
1774146149.745845,8.737867,-0.0696,2.276267,9.029759,"8.737867,-0.069600,2.276267,9.029759",touch
1774146149.770483,8.737867,-0.116533,2.274667,9.02984,"8.737867,-0.116533,2.274667,9.029840",touch
1774146149.798817,8.737867,-0.1024,2.268267,9.028059,"8.737867,-0.102400,2.268267,9.028059",touch
1774146149.823442,8.737867,-0.124533,2.264267,9.027333,"8.737867,-0.124533,2.264267,9.027333",touch
1774146149.848162,8.737867,-0.1544,2.262667,9.027393,"8.737867,-0.154400,2.262667,9.027393",touch
1774146149.872942,8.737867,-0.337333,2.251467,9.029574,"8.737867,-0.337333,2.251467,9.029574",touch
1774146149.897727,8.737867,-0.078933,2.270667,9.028427,"8.737867,-0.078933,2.270667,9.028427",touch
1774146149.925853,8.737867,-0.103467,2.2672,9.027803,"8.737867,-0.103467,2.267200,9.027803",touch
1774146149.950646,8.737867,-0.1,2.267467,9.027831,"8.737867,-0.100000,2.267467,9.027831",touch
1774146149.9753852,8.737867,-0.051467,2.2712,9.028362,"8.737867,-0.051467,2.271200,9.028362",touch
1774146150.00013,8.737867,-0.0624,2.2296,9.018055,"8.737867,-0.062400,2.229600,9.018055",touch
1774146150.0671098,8.737867,-0.108533,2.217067,9.015402,"8.737867,-0.108533,2.217067,9.015402",touch
1774146150.067841,8.737867,-0.1408,2.257333,9.025835,"8.737867,-0.140800,2.257333,9.025835",touch
1774146150.0895512,8.737867,-0.0488,2.2672,9.027341,"8.737867,-0.048800,2.267200,9.027341",touch
